,stats_players_used,stats_avg_age,stats_possession,stats_games,stats_games_starts,stats_minutes,stats_minutes_90s,stats_goals,stats_assists,stats_goals_assists,stats_goals_pens,stats_pens_made,stats_pens_att,stats_cards_yellow,stats_cards_red,stats_xg,stats_npxg,stats_xg_assist,stats_npxg_xg_assist,stats_progressive_carries,stats_progressive_passes,stats_goals_per90,stats_assists_per90,stats_goals_assists_per90,stats_goals_pens_per90,stats_goals_assists_pens_per90,stats_xg_per90,stats_xg_assist_per90,stats_xg_xg_assist_per90,stats_npxg_per90,stats_npxg_xg_assist_per90,full_players_used,full_gk_games,full_gk_games_starts,full_gk_minutes,full_minutes_90s,full_gk_goals_against,full_gk_goals_against_per90,full_gk_shots_on_target_against,full_gk_saves,full_gk_save_pct,full_gk_wins,full_gk_ties,full_gk_losses,full_gk_clean_sheets,full_gk_clean_sheets_pct,full_gk_pens_att,full_gk_pens_allowed,full_gk_pens_saved,full_gk_pens_missed,full_gk_pens_save_pct
Angers,25,28.3,42.0,24,264,"2,160",24.0,25,14,39,20,5,6,33,2,29.1,24.4,19.5,43.9,360,687,1.04,0.58,1.62,0.83,1.42,1.21,0.81,2.03,1.02,1.83,1,24,24,"2,160",24.0,38,1.58,141,103,74.5,7,6,11,5,20.8,3,2,0,1,0.0
Auxerre,28,26.6,41.7,24,264,"2,160",24.0,34,24,58,30,4,5,45,4,30.3,26.7,22.7,49.4,330,786,1.42,1.00,2.42,1.25,2.25,1.26,0.95,2.21,1.11,2.06,2,24,24,"2,160",24.0,38,1.58,120,83,72.5,7,7,10,6,25.0,6,5,1,0,16.7
Brest,28,28.7,47.7,24,264,"2,160",24.0,36,21,57,29,7,9,44,1,32.4,25.4,20.1,45.4,316,768,1.50,0.87,2.37,1.21,2.08,1.35,0.84,2.19,1.06,1.89,2,24,24,"2,160",24.0,40,1.67,102,62,65.7,10,3,11,6,25.0,7,5,1,1,16.7
Le Havre,31,27.4,42.4,24,264,"2,160",24.0,21,14,35,17,4,4,43,4,25.8,22.6,16.2,38.8,366,751,0.87,0.58,1.46,0.71,1.29,1.07,0.67,1.75,0.94,1.62,2,24,24,"2,160",24.0,50,2.08,124,74,62.9,6,2,16,3,12.5,5,4,1,0,20.0
Lens,32,27.7,55.1,24,264,"2,160",24.0,27,15,42,23,4,4,64,7,37.9,34.9,25.5,60.4,404,1080,1.13,0.62,1.75,0.96,1.58,1.58,1.06,2.64,1.45,2.52,3,24,24,"2,160",24.0,29,1.21,94,65,77.7,9,6,9,9,37.5,8,8,0,0,0.0
Lille,27,26.4,57.1,24,264,"2,160",24.0,39,21,60,33,6,9,58,1,40.5,34.2,25.4,59.6,477,1150,1.62,0.87,2.50,1.37,2.25,1.69,1.06,2.75,1.42,2.48,1,24,24,"2,160",24.0,27,1.13,94,67,74.5,11,8,5,8,33.3,3,3,0,0,0.0
Lyon,27,28.1,55.2,24,264,"2,160",24.0,41,32,73,38,3,5,39,0,40.7,36.8,30.1,66.9,460,1163,1.71,1.33,3.04,1.58,2.92,1.70,1.25,2.95,1.53,2.79,1,24,24,"2,160",24.0,31,1.29,124,93,76.6,11,6,7,8,33.3,2,2,0,0,0.0
Marseille,32,27.2,64.1,24,264,"2,160",24.0,51,34,85,45,6,7,48,6,46.0,40.4,32.1,72.5,458,1177,2.12,1.42,3.54,1.87,3.29,1.92,1.34,3.26,1.68,3.02,1,24,24,"2,160",24.0,29,1.21,98,67,72.4,15,4,5,5,20.8,5,2,3,0,60.0
Monaco,28,24.9,56.3,24,264,"2,160",24.0,48,38,86,45,3,3,43,3,54.5,52.3,42.1,94.4,481,1206,2.00,1.58,3.58,1.87,3.46,2.27,1.75,4.02,2.18,3.93,2,24,24,"2,160",24.0,31,1.29,95,64,70.5,13,4,7,7,29.2,3,3,0,0,0.0
Montpellier,34,27.2,45.7,24,264,"2,160",24.0,21,12,33,18,3,4,70,6,28.4,25.3,19.5,44.9,391,770,0.87,0.50,1.37,0.75,1.25,1.18,0.81,2.00,1.06,1.87,2,24,24,"2,160",24.0,58,2.42,139,82,61.9,4,3,17,0,0.0,6,5,1,0,16.7
Nantes,29,27.3,40.3,24,264,"2,160",24.0,28,20,48,24,4,4,50,2,30.0,27.0,21.2,48.2,359,790,1.17,0.83,2.00,1.00,1.83,1.25,0.88,2.14,1.12,2.01,3,24,24,"2,160",24.0,42,1.75,113,74,67.3,5,9,10,3,12.5,5,5,0,0,0.0
Nice,29,26.9,47.1,24,264,"2,160",24.0,45,30,75,40,5,5,45,3,42.8,38.9,29.1,68.0,491,884,1.87,1.25,3.12,1.67,2.92,1.78,1.21,3.00,1.62,2.83,1,24,24,"2,160",24.0,28,1.17,114,87,77.2,13,7,4,6,25.0,2,2,0,0,0.0
Paris S-G,24,24.5,68.0,24,264,"2,160",24.0,64,48,112,60,4,4,26,0,63.0,59.9,50.7,110.5,670,1466,2.67,2.00,4.67,2.50,4.50,2.63,2.11,4.74,2.50,4.61,2,24,24,"2,160",24.0,23,0.96,82,59,75.6,19,5,0,6,25.0,3,3,0,0,0.0
Reims,32,25.4,45.8,24,264,"2,160",24.0,25,12,37,24,1,2,52,5,26.4,24.8,17.1,42.0,436,888,1.04,0.50,1.54,1.00,1.50,1.10,0.71,1.81,1.04,1.75,1,24,24,"2,160",24.0,38,1.58,128,89,72.7,5,7,12,3,12.5,4,3,1,0,25.0
Rennes,35,26.2,50.8,24,264,"2,160",24.0,34,18,52,29,5,7,52,2,33.0,27.9,18.7,46.6,470,1017,1.42,0.75,2.17,1.21,1.96,1.37,0.78,2.15,1.16,1.94,3,24,24,"2,160",24.0,32,1.33,88,56,65.9,9,2,13,9,37.5,4,2,2,0,50.0
Saint-Étienne,32,26.4,45.8,24,264,"2,160",24.0,24,17,41,21,3,3,47,2,25.4,23.1,17.9,41.0,360,810,1.00,0.71,1.71,0.87,1.58,1.06,0.75,1.81,0.96,1.71,1,24,24,"2,160",24.0,56,2.33,154,99,71.4,5,4,15,3,12.5,13,12,1,0,7.7
Strasbourg,28,22.1,49.5,24,264,"2,160",24.0,37,28,65,35,2,2,55,1,35.8,34.2,27.3,61.6,383,829,1.54,1.17,2.71,1.46,2.62,1.49,1.14,2.63,1.43,2.57,2,24,24,"2,160",24.0,32,1.33,116,85,76.7,10,7,7,7,29.2,6,5,1,0,16.7
Toulouse,27,25.7,45.7,24,264,"2,160",24.0,29,22,51,26,3,4,38,1,36.0,32.8,25.6,58.4,394,873,1.21,0.92,2.12,1.08,2.00,1.50,1.06,2.56,1.37,2.43,3,24,24,"2,160",24.0,26,1.08,71,46,64.8,9,6,9,9,37.5,2,1,1,0,50.0
