,advplayers_used,advavg_age,advpossession,advgames,advgames_starts,advminutes,advminutes_90s,advgoals,advassists,advgoals_assists,advgoals_pens,advpens_made,advpens_att,advcards_yellow,advcards_red,advxg,advnpxg,advxg_assist,advnpxg_xg_assist,advprogressive_carries,advprogressive_passes,advgoals_per90,advassists_per90,advgoals_assists_per90,advgoals_pens_per90,advgoals_assists_pens_per90,advxg_per90,advxg_assist_per90,advxg_xg_assist_per90,advnpxg_per90,advnpxg_xg_assist_per90
contre Atalanta,32,26.9,43.3,27,297,"2,430",27.0,24,18,42,23,1,1,41,1,25.4,24.6,18.8,43.4,345,671,0.89,0.67,1.56,0.85,1.52,0.94,0.70,1.64,0.91,1.61
contre Bologna,29,26.7,42.1,27,297,"2,430",27.0,31,24,55,29,2,3,61,2,26.1,23.7,18.7,42.4,346,682,1.15,0.89,2.04,1.07,1.96,0.97,0.69,1.66,0.88,1.57
contre Cagliari,26,27.0,54.4,27,297,"2,430",27.0,42,27,69,36,6,6,47,4,43.1,38.9,29.4,68.3,565,1050,1.56,1.00,2.56,1.33,2.33,1.60,1.09,2.69,1.44,2.53
contre Como,37,27.1,46.8,27,297,"2,430",27.0,43,28,71,37,6,6,66,4,28.9,24.3,19.1,43.3,402,856,1.59,1.04,2.63,1.37,2.41,1.07,0.71,1.78,0.90,1.61
contre Empoli,33,27.2,59.0,27,297,"2,430",27.0,43,36,79,42,1,3,37,1,36.7,34.4,25.5,59.9,449,1071,1.59,1.33,2.93,1.56,2.89,1.36,0.95,2.31,1.27,2.22
contre Fiorentina,34,27.1,50.1,27,297,"2,430",27.0,27,20,47,26,1,3,65,5,27.8,25.4,20.0,45.4,484,907,1.00,0.74,1.74,0.96,1.70,1.03,0.74,1.77,0.94,1.68
contre Genoa,34,27.1,54.9,27,297,"2,430",27.0,33,19,52,28,5,7,50,1,34.3,28.8,22.8,51.7,442,1003,1.22,0.70,1.93,1.04,1.74,1.27,0.85,2.12,1.07,1.91
contre Hellas Verona,32,26.9,62.0,27,297,"2,430",27.0,55,40,95,54,1,2,37,1,42.4,40.8,31.0,71.8,520,1214,2.04,1.48,3.52,2.00,3.48,1.57,1.15,2.72,1.51,2.66
contre Inter,25,26.9,40.7,27,297,"2,430",27.0,24,15,39,22,2,3,33,2,24.2,21.7,15.7,37.4,432,729,0.89,0.56,1.44,0.81,1.37,0.90,0.58,1.48,0.80,1.39
contre Juventus,29,27.1,41.6,27,297,"2,430",27.0,21,15,36,17,4,4,51,2,23.3,20.1,15.8,36.0,389,779,0.78,0.56,1.33,0.63,1.19,0.86,0.59,1.45,0.75,1.33
contre Lazio,25,26.9,45.1,27,297,"2,430",27.0,33,23,56,29,4,4,84,9,29.0,26.0,21.2,47.2,401,797,1.22,0.85,2.07,1.07,1.93,1.07,0.79,1.86,0.96,1.75
contre Lecce,30,27.1,55.1,27,297,"2,430",27.0,42,27,69,36,6,8,58,4,41.2,35.2,26.9,62.1,472,1174,1.56,1.00,2.56,1.33,2.33,1.52,0.99,2.52,1.30,2.30
contre Milan,32,26.9,45.1,27,297,"2,430",27.0,28,24,52,27,1,2,56,2,29.7,28.1,23.7,51.8,419,839,1.04,0.89,1.93,1.00,1.89,1.10,0.88,1.98,1.04,1.92
contre Monza,35,26.9,51.7,27,297,"2,430",27.0,44,36,80,42,2,4,42,0,36.7,33.6,27.0,60.6,489,1124,1.63,1.33,2.96,1.56,2.89,1.36,1.00,2.36,1.24,2.24
contre Napoli,26,26.7,46.4,27,297,"2,430",27.0,21,14,35,20,1,3,51,1,20.5,18.0,14.2,32.2,393,831,0.78,0.52,1.30,0.74,1.26,0.76,0.52,1.28,0.67,1.19
contre Parma,32,26.9,55.6,27,297,"2,430",27.0,44,32,76,39,5,5,63,3,46.7,42.9,33.6,76.4,627,1273,1.63,1.19,2.81,1.44,2.63,1.73,1.24,2.97,1.59,2.83
contre Roma,28,26.9,44.6,27,297,"2,430",27.0,29,18,47,25,4,4,70,4,30.5,27.4,20.0,47.4,453,823,1.07,0.67,1.74,0.93,1.59,1.13,0.74,1.87,1.02,1.76
contre Torino,28,26.8,52.7,27,297,"2,430",27.0,30,20,50,29,1,5,47,1,36.3,32.4,24.4,56.8,523,999,1.11,0.74,1.85,1.07,1.81,1.35,0.90,2.25,1.20,2.10
contre Udinese,29,27.1,53.3,27,297,"2,430",27.0,32,17,49,25,7,8,42,5,36.6,30.4,23.0,53.4,419,969,1.19,0.63,1.81,0.93,1.56,1.35,0.85,2.21,1.13,1.98
contre Venezia,36,27.2,55.4,27,297,"2,430",27.0,38,23,61,30,8,9,51,2,42.4,35.3,28.1,63.5,500,1038,1.41,0.85,2.26,1.11,1.96,1.57,1.04,2.61,1.31,2.35
