,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,last_5,attendance_per_g,top_team_scorers,top_keeper,notes
Barcelona,26,18,3,5,71,25,+46,57,2.19,63.6,28.5,+35.1,+1.35,VVVVV,"45,119",Robert Lewandowski-21,Iñaki Peña,
Atlético Madrid,26,16,8,2,43,16,+27,56,2.15,43.0,23.9,+19.1,+0.73,VNNVV,"61,568",Julián Álvarez-10,Jan Oblak,
Real Madrid,26,16,6,4,55,25,+30,54,2.08,50.4,26.1,+24.3,+0.94,DNNVD,"69,083",Kylian Mbappé-17,Thibaut Courtois,
Athletic Club,26,13,9,4,44,23,+21,48,1.85,40.6,24.5,+16.1,+0.62,NVNVD,"48,355",Oihan Sancet-13,Julen Agirrezabala,
Villarreal,25,12,8,5,48,35,+13,44,1.76,43.4,28.2,+15.2,+0.61,NVVNV,"18,376",Ayoze Pérez-11,Diego Conde,
Betis,26,10,8,8,34,33,+1,38,1.46,38.7,33.4,+5.3,+0.20,NDVVV,"51,250",Giovani Lo Celso-7,Rui Silva,
Rayo Vallecano,26,9,9,8,28,27,+1,36,1.38,32.8,30.4,+2.4,+0.09,VVDDN,"13,131",Jorge de Frutos-4,Augusto Batalla,
Mallorca,26,10,6,10,25,32,-7,36,1.38,29.6,29.9,-0.3,-0.01,DNVNN,"18,819",Vedat Muriqi-6,Dominik Greif,
Real Sociedad,26,10,4,12,23,27,-4,34,1.31,28.9,29.3,-0.4,-0.02,DVDVD,"30,412",Takefusa Kubo-5,Álex Remiro,
Celta Vigo,26,9,6,11,38,40,-2,33,1.27,36.5,28.5,+8.0,+0.31,DVNVN,"22,448",Iago Aspas-8,Vicente Guaita,
Osasuna,26,7,12,7,32,37,-5,33,1.27,28.1,36.4,-8.3,-0.32,VNNDN,"20,452",Ante Budimir-14,Sergio Herrera,
Sevilla,26,8,9,9,31,36,-5,33,1.27,28.3,35.4,-7.2,-0.28,NDVNN,"35,672",Dodi Lukebakio-11,Ørjan Nyland,
Girona,26,9,5,12,34,39,-5,32,1.23,30.2,34.3,-4.0,-0.16,VDDDN,"12,002","Cristhian Stuani,Abel Ruiz... -4",Paulo Gazzaniga,
Getafe,26,7,9,10,21,21,0,30,1.15,24.1,31.4,-7.3,-0.28,NVVDD,"11,204",Mauro Arambarri-6,David Soria,
Espanyol,25,7,6,12,24,36,-12,27,1.08,20.3,39.4,-19.1,-0.76,NVDNV,"23,975",Javi Puado-8,Joan García,
Leganés,26,6,9,11,23,38,-15,27,1.04,20.9,41.6,-20.6,-0.79,DDNDV,"10,908",Juan Cruz-4,Marko Dmitrović,
Las Palmas,26,6,6,14,30,44,-14,24,0.92,24.8,47.8,-23.1,-0.89,DDDDN,"24,082",Sandro Ramírez-8,Jasper Cillessen,
Valencia,26,5,9,12,28,44,-16,24,0.92,28.6,38.5,-9.9,-0.38,VVNDN,"42,687",Hugo Duro-7,Giorgi Mamardashvili,
Alavés,26,5,8,13,29,40,-11,23,0.88,29.7,31.3,-1.6,-0.06,DDNDN,"16,885",Kiké-11,Antonio Sivera,
Valladolid,26,4,4,18,17,60,-43,16,0.62,22.3,46.2,-23.9,-0.92,DDDDN,"21,398","Mamadou Sylla,Selim Amallah... -3",Karl Jakob Hein,
