games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,last_5,attendance_per_g,top_team_scorers,top_keeper,notes
24,19,5,0,66,23,+43,62,2.58,63.0,23.2,+39.9,+1.66,VVVVV,"47,225",Ousmane Dembélé-18,Gianluigi Donnarumma,
24,15,4,5,52,29,+23,49,2.04,46.0,32.7,+13.3,+0.55,VVVDV,"63,140",Mason Greenwood-15,Gerónimo Rulli,
24,13,7,4,49,28,+21,46,1.92,42.8,27.4,+15.4,+0.64,NVVVV,"24,719",Evann Guessand-10,Marcin Bułka,
24,13,4,7,48,31,+17,43,1.79,54.4,27.6,+26.8,+1.11,VDVDV,"9,435",Mika Biereth-10,Radosław Majecki,
24,11,8,5,39,27,+12,41,1.71,40.5,34.2,+6.3,+0.26,VDVVD,"40,888",Jonathan David-13,Lucas Chevalier,
24,11,6,7,44,31,+13,39,1.63,40.7,35.2,+5.5,+0.23,DVVDV,"51,134",Alexandre Lacazette-9,Lucas Perri,
24,10,7,7,38,32,+6,37,1.54,35.8,40.7,-4.9,-0.20,DVVNV,"19,451",Emanuel Emegha-11,Đorđe Petrović,
24,9,6,9,31,26,+5,33,1.38,36.0,24.6,+11.3,+0.47,NNDVV,"24,711",Zakaria Aboukhlal-7,Guillaume Restes,
24,9,6,9,29,29,0,33,1.38,37.9,32.7,+5.1,+0.21,VDDDD,"37,911",M'Bala Nzola-6,Brice Samba,
24,10,3,11,36,40,-4,33,1.38,32.4,41.1,-8.7,-0.36,DVNND,"14,776",Ludovic Ajorque-10,Marco Bizot,
24,9,2,13,34,32,+2,29,1.21,33.0,30.8,+2.1,+0.09,VVDVV,"27,361",Arnaud Kalimuendo-11,Steve Mandanda,
24,7,7,10,34,38,-4,28,1.17,30.3,41.8,-11.5,-0.48,DNNVD,"16,440",Hamed Junior Traorè-9,Donovan Léon,
24,7,6,11,26,38,-12,27,1.13,29.1,38.6,-9.5,-0.40,NDVND,"13,267",Himad Abdelli-6,Yahia Fofana,
24,5,9,10,28,42,-14,24,1.00,30.0,40.1,-10.1,-0.42,VDDVD,"29,627",Matthis Abline-7,Alban Lafont,
24,5,7,12,26,38,-12,22,0.92,26.4,42.3,-15.9,-0.66,DDDDD,"15,637",Keito Nakamura-8,Yehvann Diouf,
24,6,2,16,23,50,-27,20,0.83,25.8,42.7,-17.0,-0.71,NVDDV,"20,156",André Ayew-4,Arthur Desmas,
24,5,4,15,24,56,-32,19,0.79,25.4,54.8,-29.4,-1.22,DDDND,"26,437",Zuriko Davitashvili-7,Gautier Larsonneur,
24,4,3,17,21,58,-37,15,0.63,28.4,47.3,-18.9,-0.79,DDDDD,"13,410",Arnaud Nordin-4,Benjamin Lecomte,
